employee_name,user_id,O,C,E,A,N,mapped_id,night_logons,total_email_size,usb_count
Nina Camille Hodges,NCH0179,17,12,40,17,25,LMF0980,0.0,111378922.0,0.0
Nicolas Brandon Hendrix,NBH0256,41,43,14,21,22,RMD0792,49.0,0.0,3050.0
Olivia Rose Galloway,ORG0339,50,28,46,47,20,CAR0992,27.0,0.0,729.0
Forrest Rashad Richards,FRR0832,43,40,25,19,30,JLW0053,0.0,140343719.0,0.0
Miriam Shoshana Donovan,MSD0939,24,37,15,42,31,NGH1256,0.0,0.0,0.0
Olivia Quynn Hardy,OQH0183,34,38,18,33,23,BRM0843,0.0,0.0,0.0
Bethany Stephanie Haynes,BSH0445,38,22,30,15,21,MEM1745,0.0,0.0,0.0
Kennedy Shad Parker,KSP0357,41,40,29,19,24,LND2704,0.0,0.0,0.0
Nigel Gareth Ochoa,NGO0690,43,41,41,17,24,FPV3755,0.0,0.0,0.0
Vincent Craig Cunningham,VCC0396,21,45,16,37,23,VKM1515,0.0,0.0,0.0
Wesley Dustin Dickerson,WDD0366,43,42,17,19,28,CAM0102,0.0,91334857.0,0.0
Kai Penelope Peck,KPP0452,44,46,44,16,19,ZJS2648,29.0,0.0,0.0
Raymond Tate Osborne,RTO0313,44,45,25,17,27,HAR1101,0.0,0.0,0.0
Ariel Bertha Murphy,ABM0845,45,21,35,50,29,FPM2074,0.0,0.0,0.0
Vance Ira Alston,VIA0063,40,34,19,50,33,MTL3695,0.0,0.0,0.0
Benjamin Ignatius Hooper,BIH0745,43,39,50,27,25,CTW0500,0.0,149640176.0,0.0
Clinton Coby Wolfe,CCW0031,33,47,30,39,33,TEF3555,0.0,0.0,0.0
Illana Yvette Bradshaw,IYB0918,17,21,42,14,30,MLM0950,0.0,12293871.0,0.0
Orla Ruth Mckenzie,ORM0669,44,39,28,39,36,AMM0734,0.0,0.0,0.0
Mikayla Jaden Barron,MJB0588,39,24,15,47,38,RKH1801,0.0,0.0,0.0
Arthur Lucian Bonner,ALB0892,25,19,44,22,30,BCM0653,0.0,30812742.0,0.0
Leah Idola Moran,LIM0674,18,13,35,49,20,REF3266,47.0,0.0,138.0
Lacota Helen Nash,LHN0151,13,15,19,32,26,MAD0753,0.0,150654694.0,0.0
William Theodore Reeves,WTR0563,47,45,46,15,31,MEV2182,0.0,0.0,0.0
MacKenzie Kristen Stewart,MKS0204,21,30,21,16,31,CET3786,6.0,0.0,0.0
Armando Albert Walter,AAW0353,49,45,19,25,34,SEM2492,0.0,0.0,0.0
Willow Jaime Daniel,WJD0576,40,20,23,38,26,VWB0990,0.0,0.0,0.0
Irene Lacota Huffman,ILH0958,28,17,20,19,24,NBW2810,0.0,0.0,137.0
Tallulah Liberty Kirby,TLK0993,41,36,40,35,22,BHK2196,0.0,0.0,0.0
William Aladdin Bennett,WAB0143,43,43,24,22,33,BJH3402,0.0,0.0,0.0
Rashad Aristotle Guerrero,RAG0275,23,38,35,41,32,MLL0598,0.0,9870438.0,0.0
Leilani Quail Callahan,LQC0479,27,38,34,17,36,SLC0017,0.0,0.0,0.0
Kai Wynne Craft,KWC0004,23,38,39,20,27,MDF1222,0.0,0.0,339.0
Cora Jane Kinney,CJK0200,40,29,24,38,31,DCW1901,0.0,0.0,0.0
Flynn Edward Brennan,FEB0306,40,42,26,25,31,NTE3084,0.0,0.0,0.0
Indira Jocelyn Mack,IJM0776,41,35,19,41,32,ARB0208,0.0,0.0,0.0
Nicolas Kadeem Hayden,NKH0807,45,44,40,22,20,PAD0773,0.0,30828818.0,0.0
Jade Maris Coleman,JMC0925,33,10,23,19,31,ZBW1015,0.0,0.0,0.0
Stephanie Briar Harrington,SBH0537,34,21,14,13,33,JCM1388,0.0,0.0,0.0
Julie Jaime Burns,JJB0700,15,19,39,37,28,FAJ0523,42.0,0.0,147.0
Amaya Iola Sawyer,AIS0405,40,45,14,37,35,RPC0205,57.0,0.0,0.0
Hilda Alice Hahn,HAH0760,34,17,22,37,30,BBS0422,0.0,104149193.0,0.0
Aladdin Hu Day,AHD0848,24,30,49,16,30,VDP0790,0.0,0.0,3077.0
Lila Dana Mcintyre,LDM0587,49,20,23,21,26,JDB1620,0.0,0.0,0.0
Armand Jasper Nicholson,AJN0607,45,42,16,47,23,KJC3748,0.0,0.0,0.0
Bevis Brady Sheppard,BBS0039,44,37,34,21,40,KLH0276,0.0,0.0,0.0
Emerald Imani Schmidt,EIS0041,41,44,17,48,30,RJM3957,0.0,0.0,0.0
Melodie Lee Glenn,MLG0475,45,16,18,19,25,JAJ0849,0.0,12972497.0,0.0
Hadley Rhona Dillon,HRD0635,24,35,18,32,24,CCL3272,0.0,0.0,0.0
Ethan Perry Wiggins,EPW0434,32,36,38,22,33,RRC0553,0.0,20423922.0,0.0
Jena Audrey Malone,JAM0382,25,23,41,17,23,UBF0645,0.0,30315359.0,0.0
Noble Clinton Klein,NCK0295,31,30,38,36,34,WRM0963,0.0,4919419.0,0.0
Luke Jacob Talley,LJT0817,39,43,38,39,24,LCG0784,0.0,0.0,0.0
Chandler Ashton Madden,CAM0102,31,44,19,15,27,RLB1334,0.0,0.0,395.0
Suki Ori Grant,SOG0411,26,19,21,24,23,CER0228,60.0,0.0,807.0
Kameko Signe Harrison,KSH0569,15,39,23,14,22,RKF0164,0.0,87568604.0,0.0
Bruno Donovan Ingram,BDI0533,37,36,15,41,19,QXH0396,0.0,0.0,0.0
Paula Madaline Jackson,PMJ0564,30,21,40,14,39,WDD0366,0.0,96727656.0,0.0
Hedda Grace Gordon,HGG0240,20,26,24,36,31,RDF1248,0.0,0.0,0.0
Mari Gretchen Shaw,MGS0974,17,39,39,40,27,SRC2524,0.0,0.0,0.0
Dominic Howard Mcconnell,DHM0937,43,22,21,15,24,KLG0439,0.0,0.0,0.0
Evelyn Nevada Curtis,ENC0234,21,23,32,19,23,KJG0910,0.0,30127226.0,0.0
Colin Evan Brown,CEB0210,42,24,44,23,34,AAF0535,0.0,14590753.0,0.0
Yvette Jeanette Vang,YJV0699,17,25,30,13,31,ALB0892,0.0,20367368.0,0.0
Brittany Mona Terry,BMT0528,33,25,39,25,30,KGF2552,42.0,0.0,0.0
Caleb Jonas Chang,CJC0494,40,39,39,42,42,BKS2069,0.0,0.0,0.0
Sean Omar Burgess,SOB0360,42,22,40,16,32,SZG0325,0.0,0.0,0.0
Glenna Caryn Sharpe,GCS0571,22,18,16,23,32,NGR2884,0.0,0.0,0.0
Beck John Peters,BJP0134,42,17,44,21,39,HJG3868,0.0,0.0,0.0
Kirby Bo Pollard,KBP0008,23,18,40,11,34,KVA2944,0.0,0.0,0.0
Fitzgerald Len Merrill,FLM0213,20,41,46,15,24,CKH0705,0.0,0.0,0.0
Rhonda Rhona Parsons,RRP0568,43,50,38,18,33,VTB2147,0.0,0.0,0.0
Maxwell Clark Faulkner,MCF0600,39,49,13,26,27,CED2356,0.0,0.0,0.0
Shelly Audra Ayala,SAA0999,20,17,34,11,36,NJL2478,0.0,0.0,1059.0
Teagan Hedy Romero,THR0873,37,44,21,40,38,DSB0731,0.0,148432513.0,0.0
Kimberley Roary Maldonado,KRM0541,40,20,38,36,23,ARF0575,0.0,0.0,0.0
Kenneth Steel Porter,KSP0966,42,36,19,24,35,DBC1073,0.0,0.0,0.0
Lionel Omar Fisher,LOF0311,41,15,36,10,32,BXK2091,0.0,0.0,0.0
Montana Basia Roberts,MBR0724,33,44,18,35,31,JDV1245,0.0,0.0,135.0
Felicia Sloane Cabrera,FSC0601,37,30,37,15,30,IIW0249,0.0,102237839.0,0.0
Medge Liberty Petersen,MLP0668,40,17,16,43,33,BJE0351,0.0,0.0,873.0
Charity Uta Daniels,CUD0795,12,40,30,44,24,SRB2600,0.0,0.0,397.0
Aurora Katell Rhodes,AKR0057,50,41,20,18,30,KMB3003,0.0,0.0,0.0
Guy Zeus Chandler,GZC0735,44,16,15,27,25,AOC0982,0.0,0.0,3071.0
Hadassah Leah Harris,HLH0512,15,42,36,22,32,DLF0377,0.0,90800970.0,0.0
Norman Jackson Beck,NJB0243,23,35,37,24,34,WNR0661,0.0,0.0,0.0
Gregory Curran Sutton,GCS0518,41,36,23,38,21,NRF0137,0.0,10028375.0,0.0
Nicole Macey Craig,NMC0486,42,10,23,21,27,TAP0631,0.0,0.0,0.0
Keegan Marvin Benson,KMB0922,43,43,17,24,27,ALB3649,0.0,0.0,755.0
Cecilia Freya Morgan,CFM0767,46,23,22,35,29,EHV1237,0.0,0.0,0.0
Holmes Arden Day,HAD0246,44,39,32,45,38,TRW3172,0.0,0.0,0.0
Alexa Nadine Poole,ANP0555,13,40,42,23,28,KBC0054,0.0,89491853.0,0.0
Leslie Briar Fields,LBF0214,18,44,18,38,28,AEG1121,0.0,0.0,0.0
Dacey Jorden Bowen,DJB0159,20,37,27,38,37,LND2704,0.0,0.0,0.0
Baxter William Price,BWP0202,20,36,15,25,28,VWB0990,0.0,0.0,0.0
Flavia Fiona Cannon,FFC0891,38,10,39,50,39,EZP3568,0.0,0.0,0.0
Amal Judah Rich,AJR0932,46,30,35,12,29,JRH0455,0.0,1538387.0,0.0
Blair Deborah Vaughn,BDV0168,45,31,19,21,31,LAF0991,0.0,90806263.0,0.0
Cassady Quincy Hampton,CQH0730,21,18,37,49,27,NMS1493,0.0,0.0,0.0
Jena Chanda Rollins,JCR0289,32,43,33,33,29,VNG0916,77.0,0.0,134.0
Addison Edward Snyder,AES0827,39,40,34,38,23,LYS3814,11.0,0.0,125.0
Sydnee Leilani Parsons,SLP0762,26,13,40,18,26,PSD1409,51.0,0.0,0.0
Cheyenne Lesley Dominguez,CLD0894,19,21,50,16,36,NKH0979,0.0,112157561.0,0.0
Leo Chaney Daugherty,LCD0622,30,26,13,14,26,DNM3903,0.0,0.0,0.0
Caleb Mason Ball,CMB0912,46,43,16,22,31,LLJ1243,0.0,0.0,0.0
Zenia Kiona Stevenson,ZKS0899,47,20,42,43,30,MIA0939,0.0,0.0,0.0
James Cain Vargas,JCV0245,40,44,22,20,27,RPL2640,0.0,0.0,0.0
Ali Murphy Hurley,AMH0794,43,42,33,40,31,CID3774,0.0,0.0,0.0
Francis Kane Buckner,FKB0163,39,35,25,39,22,GCS0518,0.0,30108833.0,0.0
Amena Karyn Christian,AKC0924,40,44,35,37,27,PWG3063,0.0,0.0,0.0
Ivory Leandra Rogers,ILR0304,20,22,18,46,30,SMS2452,0.0,0.0,0.0
Arthur John Floyd,AJF0370,37,33,11,15,36,BCW3480,0.0,0.0,0.0
Octavius Kelly Castaneda,OKC0107,32,40,16,47,35,NNA0610,0.0,151728023.0,0.0
Oren Clinton Sharpe,OCS0865,29,24,43,35,32,CCL3272,0.0,0.0,0.0
Urielle Jane Carter,UJC0737,16,12,12,38,25,CCW2381,55.0,0.0,2803.0
Marshall Benjamin Wilcox,MBW0809,43,45,44,18,19,CNR1031,0.0,0.0,0.0
Martina Cassandra Fields,MCF0327,39,41,24,44,25,CSB0080,0.0,111535674.0,0.0
Sylvester Guy Sanders,SGS0268,47,45,30,19,22,CWR0502,0.0,140175759.0,0.0
Brian Nathaniel Greer,BNG0237,39,36,36,47,27,ISS0949,0.0,0.0,0.0
Olympia Shafira Harrison,OSH0655,16,21,42,39,28,NHE3204,0.0,0.0,0.0
Catherine Savannah Bullock,CSB0080,35,19,39,34,36,KMS1530,0.0,0.0,0.0
Ella Rachel Hess,ERH0449,44,15,35,17,25,SIP2293,0.0,0.0,0.0
Eagan Gannon Koch,EGK0893,21,30,11,47,27,HHF1995,0.0,0.0,165.0
Maggy Melissa Burt,MMB0488,21,18,16,24,27,AES0827,0.0,10009311.0,0.0
Abel Adam Morton,AAM0658,43,35,37,36,22,FPM2074,0.0,0.0,0.0
Eliana Stephanie Albert,ESA0642,32,14,44,30,32,TAN2642,0.0,0.0,0.0
Chandler Raymond Kirk,CRK0916,32,46,26,19,32,TDR0111,0.0,0.0,80.0
Bruno Beau Hoover,BBH0810,40,25,10,21,32,LNS0989,0.0,91093865.0,0.0
Jessica Rachel Freeman,JRF0835,44,33,18,37,18,SSA0389,0.0,0.0,0.0
Sloane Jade Cochran,SJC0333,22,39,31,36,29,USH0199,0.0,92277385.0,0.0
Halla Cathleen Simmons,HCS0003,35,28,14,15,30,CFP3418,0.0,0.0,0.0
Edan Marsden Briggs,EMB0531,31,41,31,36,36,GBC0907,42.0,0.0,0.0
Jane Ignacia Mcdonald,JIM0095,10,18,21,15,35,JEH2847,0.0,0.0,0.0
Kay Janna Snider,KJS0618,19,15,20,10,37,WEC3721,0.0,0.0,0.0
Eaton Burton Crane,EBC0390,40,40,40,22,33,HBC0081,17.0,0.0,205.0
Willa Giselle Stanton,WGS0516,11,20,39,20,29,LDB0090,0.0,109378645.0,0.0
Nissim Gil French,NGF0157,45,38,22,46,32,IAG2742,0.0,0.0,0.0
Katell Amethyst Thornton,KAT0489,22,41,36,23,26,AJS0616,0.0,0.0,0.0
Cora Clementine Higgins,CCH0685,47,24,42,34,29,ZXM3086,0.0,0.0,0.0
Doris Mona Michael,DMM0623,36,27,21,39,30,ZJS0269,0.0,90113635.0,0.0
Sylvia Ariana Head,SAH0599,13,22,44,18,22,KZK2058,0.0,0.0,0.0
Connor Phelan Guerra,CPG0322,17,13,19,24,36,HPH0075,0.0,222965777.0,0.0
Orson Barrett Houston,OBH0499,35,18,41,16,34,FHS0837,0.0,9954407.0,0.0
Sage Nichole Savage,SNS0129,26,10,43,35,30,JHF1278,0.0,0.0,0.0
Philip Keith Barron,PKB0429,34,42,43,40,22,JSB0783,0.0,0.0,0.0
Nicole Aurelia Hanson,NAH0503,33,17,23,35,38,SAM3782,0.0,0.0,0.0
Felicia Rhona Butler,FRB0023,45,14,12,14,14,JEV3132,83.0,0.0,0.0
Amir Hayden Gray,AHG0634,31,36,42,41,27,NHM1805,0.0,0.0,0.0
Chadwick Wayne Bond,CWB0065,50,33,14,20,23,CAP2283,0.0,0.0,0.0
Aurora Tatiana Payne,ATP0662,17,16,41,20,39,FPC0954,0.0,9952288.0,0.0
Dalton Perry Mejia,DPM0423,37,38,38,15,27,ZNE3451,0.0,0.0,0.0
Walter Kaseem Foley,WKF0012,37,44,20,45,23,RDB1693,0.0,0.0,0.0
Jarrod Malik Burris,JMB0308,41,44,34,14,32,CHU3211,0.0,0.0,0.0
Amity Kendall Foley,AKF0709,42,31,29,22,32,RVC0232,0.0,92083278.0,0.0
Jermaine Mannix Hansen,JMH0543,44,25,37,13,34,BAL2366,0.0,0.0,142.0
Camille Julie Freeman,CJF0802,36,39,38,43,21,DJS1271,0.0,0.0,0.0
Ignatius Reese Morton,IRM0931,44,46,33,35,30,KBC0578,0.0,0.0,0.0
Fulton Quinn Avery,FQA0854,41,38,30,34,26,BWP0202,0.0,109240986.0,0.0
Cecilia Yuri Ashley,CYA0506,16,17,44,14,31,NAB0903,0.0,31972015.0,0.0
Gay Ria Cantu,GRC0145,30,43,24,46,27,CMC1642,0.0,0.0,0.0
Benjamin Lewis Sweeney,BLS0678,35,17,43,28,31,ANM0123,0.0,8070750.0,0.0
Harlan Jason Benjamin,HJB0742,41,40,16,21,30,LBF1992,0.0,0.0,0.0
Kimberley Kiona Sosa,KKS0119,15,28,39,33,27,RJB1424,0.0,0.0,0.0
Raymond Arsenio Blackwell,RAB0589,36,35,26,14,31,NHN0711,0.0,0.0,0.0
Demetrius Barry Bullock,DBB0384,40,41,28,37,27,HMS3795,0.0,0.0,0.0
Teagan Raven Kennedy,TRK0914,40,19,14,33,30,LGS3477,0.0,0.0,0.0
Blossom Scarlett Aguirre,BSA0431,50,41,19,40,29,DBC3871,0.0,0.0,1161.0
Rachel Hermione Le,RHL0992,36,10,39,37,36,DRB0202,0.0,0.0,0.0
Caldwell Ian Maxwell,CIM0926,31,25,41,17,31,XTB2372,0.0,0.0,463.0
Cassidy Florence Gibbs,CFG0959,42,21,24,17,20,IHD1978,0.0,0.0,0.0
Vera Mollie Jenkins,VMJ0147,23,28,37,22,24,NJM3961,0.0,0.0,0.0
Sawyer Abel Turner,SAT0194,14,19,36,23,35,AAH0721,0.0,0.0,0.0
Harper Basil Obrien,HBO0413,41,35,18,15,18,DLM2826,0.0,0.0,0.0
Declan Zachery Caldwell,DZC0228,37,37,34,21,38,DER2162,0.0,0.0,0.0
Theodore Eagan Bass,TEB0251,44,50,22,13,36,DCW1901,0.0,0.0,0.0
Maryam Nelle Ruiz,MNR0829,41,33,40,15,23,KND0529,0.0,0.0,0.0
Daryl Ocean Patel,DOP0562,42,16,37,39,31,ZCE3578,71.0,0.0,0.0
Uriel Axel Diaz,UAD0771,46,34,15,30,31,FBW0747,0.0,161883746.0,0.0
Ayanna Leandra Dunlap,ALD0544,16,18,18,13,32,RGB1581,0.0,0.0,364.0
Lysandra Chastity Brennan,LCB0664,16,19,36,24,32,LGF1503,0.0,0.0,0.0
Hyacinth Clare Lindsay,HCL0113,43,22,40,39,34,SVS0871,0.0,151164802.0,0.0
Tamara Shaeleigh Best,TSB0437,26,23,16,30,26,SRS0129,0.0,0.0,0.0
Elton Zeus Horton,EZH0736,44,41,37,19,31,YCL0650,0.0,0.0,0.0
Josiah Chester Gray,JCG0316,47,36,32,25,33,MHH0180,0.0,24304158.0,0.0
Malcolm Sebastian Garrison,MSG0839,42,46,19,39,29,CTJ2794,0.0,0.0,0.0
Lionel Jasper Johnston,LJJ0905,43,36,12,22,30,AFK3800,0.0,0.0,0.0
Hall Colorado Morin,HCM0267,36,45,39,20,32,AAL0706,0.0,10022269.0,0.0
Malachi Thor Butler,MTB0620,38,44,41,50,28,YCE0983,0.0,91127611.0,0.0
Clayton Clark Humphrey,CCH0182,42,44,47,23,29,AIF1202,0.0,0.0,0.0
Cole Aaron Mcfarland,CAM0681,41,43,45,10,28,KNM1318,0.0,0.0,0.0
Lyle Brady Hayes,LBH0942,40,42,23,30,29,CSM2819,0.0,0.0,0.0
Cedric Alexander Bowers,CAB0388,37,33,23,40,36,HWW0436,0.0,99750097.0,0.0
William Graham Rowe,WGR0833,38,46,24,38,42,RVL1688,0.0,0.0,0.0
Mohammad Taylor Terrell,MTT0901,41,34,30,40,30,KWD2589,0.0,0.0,0.0
Gisela Quintessa Fischer,GQF0659,40,16,30,29,28,EMR3880,62.0,0.0,0.0
Callum Scott Parrish,CSP0197,37,44,17,13,26,ATT1191,0.0,0.0,4179.0
Octavia May Maddox,OMM0944,17,14,27,21,29,CSV3305,0.0,0.0,0.0
Irma Melanie Patrick,IMP0530,40,17,42,50,32,CRC2747,0.0,0.0,0.0
Owen Ross Burks,ORB0473,38,44,46,38,38,BMV1886,0.0,0.0,0.0
Jenette McKenzie Lynn,JML0909,24,32,39,40,21,ALD3508,0.0,0.0,0.0
Noble Devin Mack,NDM0417,44,36,50,12,34,SJS1014,0.0,0.0,0.0
Ferdinand Rashad Lee,FRL0511,20,30,47,20,30,BEH0103,27.0,0.0,150.0
Lynn Adena Pratt,LAP0338,42,23,33,45,31,ABC3523,0.0,0.0,0.0
Harper Clark Vazquez,HCV0478,46,36,18,12,24,DGE3194,0.0,0.0,0.0
Kimberley Joy Anderson,KJA0152,16,16,39,38,34,GCC0744,0.0,151525892.0,0.0
Erasmus Cameron Franco,ECF0828,40,49,39,40,35,CJM3543,0.0,0.0,0.0
Buffy Vivien Nichols,BVN0514,36,23,30,23,22,XKR2059,0.0,0.0,0.0
Bruno Stewart Silva,BSS0463,32,40,40,38,28,MCR3885,0.0,0.0,0.0
Jonathan John Martinez,JJM0203,37,36,18,30,28,BWJ0136,0.0,0.0,0.0
Adam Ishmael Mcdaniel,AIM0627,36,39,16,41,23,IJM0444,0.0,90260200.0,0.0
Rashad August Hatfield,RAH0440,18,15,43,16,24,LCB2041,0.0,0.0,0.0
Xenos Hayden Gallegos,XHG0902,44,35,23,47,14,WMR2685,0.0,0.0,0.0
Tobias Dakota Jacobs,TDJ0998,34,40,10,42,36,KVA2944,0.0,0.0,0.0
John Price Atkins,JPA0667,49,42,34,35,27,KTS3908,0.0,0.0,0.0
Elaine Hanna Raymond,EHR0096,22,13,20,48,31,BHK2196,0.0,0.0,0.0
Sharon Jemima Whitehead,SJW0451,43,30,16,50,28,HWM0342,0.0,30499481.0,0.0
Colton Nathan Barber,CNB0900,34,43,38,16,27,NHE0919,0.0,90064148.0,0.0
Ethan Arden Hays,EAH0466,41,38,29,38,25,MNT0922,75.0,0.0,380.0
Curran Tarik Ayala,CTA0020,36,50,11,22,34,ZJS0269,0.0,90113635.0,0.0
Sandra Roary Solomon,SRS0231,17,44,36,32,26,NCV0758,0.0,0.0,0.0
Hadley Willa Hill,HWH0646,17,24,24,21,28,WDD0366,0.0,96727656.0,0.0
Halee Kim Burnett,HKB0418,50,18,13,26,27,JJB1598,67.0,0.0,0.0
Chanda Celeste Mosley,CCM0855,31,24,19,36,29,AAV0450,0.0,10114211.0,0.0
Shelley Eleanor Dawson,SED0886,22,18,18,35,28,CRC0595,0.0,0.0,0.0
Logan Branden Cherry,LBC0356,40,30,40,21,41,LRF0101,0.0,0.0,0.0
Chloe Keiko Holland,CKH0144,34,22,22,35,30,MJM0510,0.0,30367917.0,0.0
Melvin Brody Garza,MBG0438,38,17,37,16,29,JJY3112,0.0,0.0,0.0
Mohammad Vladimir Farrell,MVF0594,35,38,33,44,36,GKL1516,0.0,0.0,0.0
Alea Tana Ferrell,ATF0274,20,45,48,27,28,KSP1288,0.0,0.0,0.0
Kendall Thaddeus Glover,KTG0091,46,41,16,15,29,STN2458,0.0,0.0,0.0
Alfonso Colin Cooley,ACC0042,23,19,37,20,31,YNR2544,0.0,0.0,0.0
Arsenio Kato Wilder,AKW0167,38,38,20,14,35,VDH0766,0.0,0.0,0.0
Kirk Palmer Rosales,KPR0497,50,43,43,20,29,SMB0804,0.0,90945208.0,0.0
Amaya Britanni Newton,ABN0239,21,37,20,39,25,CCH1508,0.0,0.0,0.0
Colton Kaseem Bolton,CKB0482,36,48,37,46,25,KLM2448,0.0,0.0,0.0
Alfreda Morgan Holloway,AMH0464,45,16,42,37,21,LGF1503,0.0,0.0,0.0
Quinn Coby Hays,QCH0110,34,35,17,37,27,CPG0322,0.0,149669166.0,0.0
Sara Gail George,SGG0787,14,27,10,20,31,DRF3306,0.0,0.0,0.0
Sarah Imelda Juarez,SIJ0661,40,17,14,15,21,STR1769,863.0,0.0,0.0
Byron Tyrone Williamson,BTW0005,33,39,18,18,27,SCR2455,0.0,0.0,112.0
Risa Laura Bolton,RLB0719,14,18,15,40,35,ILY3152,40.0,0.0,733.0
William Damian Oconnor,WDO0870,23,21,14,13,25,MBW0809,0.0,7646594.0,0.0
Kaden Chastity Briggs,KCB0815,16,40,18,36,31,XHG0902,0.0,30653431.0,0.0
Vincent Calvin Young,VCY0751,37,24,39,19,25,BCR0581,0.0,9848121.0,0.0
Brock Aladdin Joyce,BAJ0654,36,10,47,10,41,BHS1917,0.0,0.0,0.0
Madonna Kristen Love,MKL0941,16,26,20,38,30,BRR2899,0.0,0.0,0.0
Elijah Gary Diaz,EGD0409,39,40,22,35,33,HMC0592,0.0,0.0,0.0
Dale Benjamin Sharpe,DBS0235,30,38,18,37,33,BBV3875,0.0,0.0,0.0
Jael Jennifer Hansen,JJH0613,50,30,24,14,26,KSS2068,0.0,0.0,0.0
Ulric Ferdinand Knapp,UFK0208,18,34,22,23,30,FHS0837,0.0,9954407.0,0.0
Brent Laith Beck,BLB0114,38,48,41,15,22,YJR1149,0.0,0.0,0.0
Cheyenne Kay Dickerson,CKD0680,18,50,24,18,28,RCF2057,0.0,0.0,0.0
Myra Kay Greer,MKG0711,17,26,43,32,38,JJH0681,15.0,0.0,0.0
Edward Dean Anthony,EDA0684,38,42,40,39,33,BDI0533,0.0,38774243.0,0.0
Illana Isabelle Lamb,IIL0513,37,13,26,38,34,MHH0180,0.0,24304158.0,0.0
TaShya Savannah Mcgowan,TSM0363,34,19,20,39,33,JDR0436,0.0,0.0,0.0
Price Bevis Pittman,PBP0002,49,35,23,10,27,ATP0662,0.0,152441115.0,0.0
Louis Hyatt Bruce,LHB0606,37,38,15,27,27,BDP0031,0.0,0.0,145.0
